artist,score,category
Eyvind Earle,0.7788089,scribbles
Giotto,0.7785216,fineart
Simone Martini,0.77843,fineart
Ivan Bilibin,0.77720606,fineart
Karl Blossfeldt,0.77652574,black-white
Duy Huynh,0.77634746,scribbles
Giovanni da Udina,0.7763063,fineart
Henri-Edmond Cross,0.7762994,fineart
Barry McGee,0.77618384,scribbles
William Kentridge,0.77615225,scribbles
Alexander Archipenko,0.7759824,scribbles
Jaume Plensa,0.7756799,weird
Bill Jacklin,0.77504414,fineart
Alberto Vargas,0.7747376,cartoon
Jean Dubuffet,0.7744374,scribbles
Eugène Grasset,0.7741958,fineart
Arthur Rackham,0.77418125,fineart
Yves Tanguy,0.77380997,scribbles
Elsa Beskow,0.7736908,fineart
Georgia O’Keeffe,0.77368987,scribbles
Georgia O'Keeffe,0.77368987,scribbles
Henri Cartier-Bresson,0.7735415,black-white
Andrea del Verrocchio,0.77307427,fineart
Mark Rothko,0.77294236,scribbles
Bruce Gilden,0.7256681,black-white
Gino Severini,0.77247965,scribbles
Delphin Enjolras,0.5594248,fineart
Alena Aenami,0.77210015,cartoon
Ed Freeman,0.42526615,digipa-low-impact
Apollonia Saintclair,0.7718383,anime
László Moholy-Nagy,0.771497,scribbles
Louis Glackens,0.7713224,fineart
Fang Lijun,0.77097225,fineart
Alfred Kubin,0.74409986,fineart
David Wojnarowicz,0.7705802,scribbles
Tara McPherson,0.77023256,scribbles
Gustav Doré,0.7367536,fineart
Patricia Polacco,0.7696109,scribbles
Norman Bluhm,0.7692634,fineart
Elizabeth Gadd,0.7691194,digipa-high-impact
Gabriele Münter,0.7690926,scribbles
David Inshaw,0.76905304,scribbles
Maurice Sendak,0.7690118,cartoon
Harry Clarke,0.7688428,cartoon
Howardena Pindell,0.7686921,n
Jamie Hewlett,0.7680373,scribbles
Steve Ditko,0.76725733,scribbles
Annie Soudain,0.7671485,scribbles
Albert Gleizes,0.76658314,scribbles
Henry Fuseli,0.69147265,fineart
Alain Laboile,0.67634284,c
Albrecht Altdorfer,0.7663378,fineart
Jack Butler Yeats,0.7661406,fineart
Yue Minjun,0.76583517,scribbles
Art Spiegelman,0.7656343,scribbles
Grete Stern,0.7656276,fineart
Mordecai Ardon,0.7648692,scribbles
Joel Sternfeld,0.76456416,digipa-high-impact
Milton Glaser,0.7641823,scribbles
Eishōsai Chōki,0.7639659,scribbles
Domenico Ghirlandaio,0.76372653,fineart
Alex Timmermans,0.64443207,digipa-high-impact
Andreas Vesalius,0.763446,fineart
Bruce McLean,0.76335883,scribbles
Jacob Lawrence,0.76330304,scribbles
Alex Katz,0.76317835,scribbles
Henri de Toulouse-Lautrec,0.76268333,scribbles
Franz Sedlacek,0.762062,scribbles
Paul Lehr,0.70854837,cartoon
Nicholas Roerich,0.76117516,scribbles
Henri Matisse,0.76110923,scribbles
Colin McCahon,0.76086944,scribbles
Max Dupain,0.6661642,black-white
Stephen Gammell,0.74001735,weird
Alberto Giacometti,0.7596302,scribbles
Goyō Hashiguchi,0.7595048,ukioe
Gustave Doré,0.7018832,fineart
Butcher Billy,0.7593378,cartoon
Pieter de Hooch,0.75916564,fineart
Gaetano Pesce,0.75906265,scribbles
Winsor McCay,0.7589382,scribbles
Claude Cahun,0.7588153,weird
Roger Ballen,0.64683115,black-white
Ellen Gallagher,0.758621,scribbles
Anton Corbijn,0.5550669,digipa-high-impact
Margaret Macdonald Mackintosh,0.75781375,fineart
Franz Kline,0.7576461,scribbles
Cimabue,0.75720495,fineart
André Kertész,0.7319392,black-white
Hans Hartung,0.75718236,scribbles
J. J. Grandville,0.7321584,fineart
David Octavius Hill,0.6333561,digipa-high-impact
teamLab,0.7566472,digipa-high-impact
Paul Gauguin,0.75635266,scribbles
Etel Adnan,0.75631833,scribbles
Barbara Kruger,0.7562784,scribbles
Franz Marc,0.75538874,scribbles
Saul Bass,0.75496316,scribbles
El Lissitzky,0.7549487,scribbles
Thomas Moran,0.6507399,fineart
Claude Monet,0.7541377,fineart
David Young Cameron,0.7541016,scribbles
W. Heath Robinson,0.75374347,cartoon
Yves Klein,0.7536262,fineart
Albert Pinkham Ryder,0.7338848,fineart
Elizabeth Shippen Green,0.7533686,fineart
Robert Stivers,0.5516287,fineart
Emily Kame Kngwarreye,0.7532016,weird
Charline von Heyl,0.753142,scribbles
Frida Kahlo,0.75303876,scribbles
Amy Sillman,0.752921,scribbles
Emperor Huizong of Song,0.7525214,ukioe
Edward Burne-Jones,0.75220466,fineart
Brett Weston,0.6891357,black-white
Charles E. Burchfield,0.75174403,scribbles
Hishida Shunsō,0.751617,fareast
Elaine de Kooning,0.7514996,scribbles
Gary Panter,0.7514598,scribbles
Frederick Hammersley,0.7514268,scribbles
Gustave Dore,0.6735896,fineart
Ephraim Moses Lilien,0.7510494,fineart
Hannah Hoch,0.7509496,scribbles
Shepard Fairey,0.7508583,scribbles
Richard Burlet,0.7506659,scribbles
Bill Brandt,0.6833408,black-white
Herbert List,0.68455493,black-white
Joseph Cornell,0.75023884,nudity
Nathan Wirth,0.6436741,black-white
John Kenn Mortensen,0.74758303,anime
Andre De Dienes,0.5683014,digipa-high-impact
Albert Robida,0.7485741,cartoon
Shintaro Kago,0.7484431,anime
Sidney Nolan,0.74809414,scribbles
Patrice Murciano,0.61973965,fineart
Brian Stelfreeze,0.7478351,scribbles
Francisco De Goya,0.6954584,fineart
William Morris,0.7478111,fineart
Honoré Daumier,0.74767774,scribbles
Hubert Robert,0.6863421,fineart
Marianne von Werefkin,0.7475825,fineart
Edvard Munch,0.74719715,scribbles
Victor Brauner,0.74719006,scribbles
George Inness,0.7470588,fineart
Naoki Urasawa,0.7469665,anime
Kilian Eng,0.7468486,scribbles
Bordalo II,0.7467364,digipa-high-impact
Katsuhiro Otomo,0.746364,anime
Maximilien Luce,0.74609685,fineart
Amy Earles,0.74603415,fineart
Jeanloup Sieff,0.7196009,black-white
William Zorach,0.74574494,scribbles
Pascale Campion,0.74516207,fineart
Dorothy Lathrop,0.74418795,fineart
Sofonisba Anguissola,0.74418664,fineart
Natalia Goncharova,0.74414873,scribbles
August Sander,0.6644566,black-white
Jasper Johns,0.74395454,scribbles
Arthur Dove,0.74383533,scribbles
Darwyn Cooke,0.7435789,scribbles
Leonardo Da Vinci,0.6825216,fineart
Fra Filippo Lippi,0.7433891,fineart
Pierre-Auguste Renoir,0.742464,fineart
Jeff Lemire,0.7422893,scribbles
Al Williamson,0.742113,cartoon
Childe Hassam,0.7418015,fineart
Francisco Goya,0.69522625,fineart
Alphonse Mucha,0.74171394,special
Cleon Peterson,0.74163914,scribbles
J.M.W. Turner,0.65582645,fineart
Walter Crane,0.74146044,fineart
Brassaï,0.6361966,digipa-high-impact
Virgil Finlay,0.74133486,fineart
Fernando Botero,0.7412504,nudity
Ben Nicholson,0.7411573,scribbles
Robert Rauschenberg,0.7410054,fineart
David Wiesner,0.7406237,scribbles
Bartolome Esteban Murillo,0.6933951,fineart
Jean Arp,0.7403873,scribbles
Andre Kertesz,0.7228358,black-white
Simeon Solomon,0.66441345,fineart
Hugh Ferriss,0.72443527,black-white
Agnes Lawrence Pelton,0.73960555,scribbles
Charles Camoin,0.7395686,scribbles
Paul Strand,0.7080332,black-white
Charles Gwathmey,0.7394747,scribbles
Bartolomé Esteban Murillo,0.7011274,fineart
Oskar Kokoschka,0.7392038,scribbles
Bruno Munari,0.73918355,weird
Willem de Kooning,0.73916197,scribbles
Hans Memling,0.7387886,fineart
Chris Mars,0.5861489,digipa-high-impact
Hiroshi Yoshida,0.73787534,ukioe
Hundertwasser,0.7377672,fineart
David Bowie,0.73773724,weird
Ettore Sottsass,0.7376095,digipa-high-impact
Antanas Sutkus,0.7369492,black-white
Leonora Carrington,0.73726475,scribbles
Hieronymus Bosch,0.7369955,scribbles
A. J. Casson,0.73666203,scribbles
Chaim Soutine,0.73662066,scribbles
Artur Bordalo,0.7364549,weird
Thomas Allom,0.68792284,fineart
Louis Comfort Tiffany,0.7363504,fineart
Philippe Druillet,0.7363382,cartoon
Jan Van Eyck,0.7360621,fineart
Sandro Botticelli,0.7359395,fineart
Hieronim Bosch,0.7359308,scribbles
Everett Shinn,0.7355817,fineart
Camille Corot,0.7355603,fineart
Nick Sharratt,0.73470485,scribbles
Fernand Léger,0.7079839,scribbles
Robert S. Duncanson,0.7346282,fineart
Hieronymous Bosch,0.73453265,scribbles
Charles Addams,0.7344034,scribbles
Studio Ghibli,0.73439026,anime
Archibald Motley,0.7343683,scribbles
Anton Fadeev,0.73433846,cartoon
Uemura Shoen,0.7342118,ukioe
Ando Fuchs,0.73406494,black-white
Jessie Willcox Smith,0.73398125,fineart
Alex Garant,0.7333658,scribbles
Lawren Harris,0.73331416,scribbles
Anne Truitt,0.73297834,scribbles
Richard Lindner,0.7328564,scribbles
Sailor Moon,0.73281246,anime
Bridget Bate Tichenor,0.73274165,scribbles
Ralph Steadman,0.7325864,scribbles
Annibale Carracci,0.73251307,fineart
Dürer,0.7324789,fineart
Abigail Larson,0.7319012,cartoon
Bill Traylor,0.73189163,scribbles
Louis Rhead,0.7318623,fineart
David Burliuk,0.731803,scribbles
Camille Pissarro,0.73172396,fineart
Catrin Welz-Stein,0.73117495,scribbles
William Etty,0.6497544,nudity
Pierre Bonnard,0.7310132,scribbles
Benoit B. Mandelbrot,0.5033001,digipa-med-impact
Théodore Géricault,0.692039,fineart
Andy Goldsworthy,0.7307565,digipa-high-impact
Alfred Sisley,0.7306032,fineart
Charles-Francois Daubigny,0.73057353,fineart
Karel Thole,0.7305395,cartoon
Andre Derain,0.73050404,scribbles
Larry Poons,0.73023695,fineart
Beauford Delaney,0.72999024,scribbles
Ruth Bernhard,0.72990334,black-white
David Alfaro Siqueiros,0.7297947,scribbles
Gaugin,0.729636,fineart
Carl Larsson,0.7296195,cartoon
Albrecht Dürer,0.72946966,fineart
Henri De Toulouse Lautrec,0.7294263,cartoon
Shotaro Ishinomori,0.7292093,anime
Hope Gangloff,0.729082,scribbles
Vivian Maier,0.72897506,digipa-high-impact
Alex Andreev,0.6442978,digipa-high-impact
Julie Blackmon,0.72862685,c
Arthur Melville,0.7286146,fineart
Henri Michaux,0.599607,fineart
William Steig,0.7283096,scribbles
Octavio Ocampo,0.72814554,scribbles
Cy Twombly,0.72814107,scribbles
Guy Denning,0.67375445,fineart
Maxfield Parrish,0.7280283,fineart
Randolph Caldecott,0.7279564,fineart
Duccio,0.72795,fineart
Ray Donley,0.5837457,fineart
Hiroshi Sugimoto,0.6497892,digipa-high-impact
Daniela Uhlig,0.4691466,special
Go Nagai,0.72770613,anime
Carlo Crivelli,0.72764605,fineart
Helmut Newton,0.44433144,digipa-low-impact
Josef Albers,0.7061394,scribbles
Henry Moret,0.7274567,fineart
André Masson,0.727404,scribbles
Henri Fantin Latour,0.72732764,fineart
Theo van Rysselberghe,0.7272843,fineart
John Wayne Gacy,0.72686327,scribbles
Carlos Schwabe,0.7267612,fineart
Herbert Bayer,0.7094297,scribbles
Domenichino,0.72667265,fineart
Liam Wong,0.7262276,special
George Caleb Bingham,0.7262154,digipa-high-impact
Gigadō Ashiyuki,0.7261864,fineart
Chaïm Soutine,0.72603923,scribbles
Ary Scheffer,0.64913243,fineart
Rockwell Kent,0.7257272,scribbles
Jean-Paul Riopelle,0.72570604,fineart
Ed Mell,0.6637067,cartoon
Ismail Inceoglu,0.72561014,special
Edgar Degas,0.72538006,fineart
Giorgione,0.7252798,fineart
Charles-François Daubigny,0.7252482,fineart
Arthur Lismer,0.7251765,scribbles
Aaron Siskind,0.4852289,digipa-med-impact
Arkhip Kuindzhi,0.7249981,fineart
Joseph Mallord William Turner,0.6834406,fineart
Dante Gabriel Rossetti,0.7244541,fineart
Ernst Haeckel,0.6660129,fineart
Rebecca Guay,0.72439146,cartoon
Anthony Gerace,0.636678,digipa-high-impact
Martin Kippenberger,0.72418386,scribbles
Diego Giacometti,0.72415763,scribbles
Dmitry Kustanovich,0.7241322,cartoon
Dora Carrington,0.7239633,scribbles
Shusei Nagaoko,0.7238965,anime
Odilon Redon,0.72381747,scribbles
Shohei Otomo,0.7132803,nudity
Barnett Newman,0.7236389,scribbles
Jean Fouquet,0.7235963,fineart
Gustav Klimt,0.72356784,nudity
Francisco Josè de Goya,0.6589663,fineart
Bonnard Pierre,0.72309464,nudity
Brooke Shaden,0.61281693,digipa-high-impact
Mao Hamaguchi,0.7228292,scribbles
Frederick Edwin Church,0.64416,fineart
Asher Brown Durand,0.72264796,fineart
George Baselitz,0.7223453,scribbles
Sam Bosma,0.7223237,fineart
Asaf Hanuka,0.72222745,scribbles
David Teniers the Younger,0.7221168,fineart
Nicola Samori,0.68747556,nudity
Claude Lorrain,0.7217102,fineart
Hermenegildo Anglada Camarasa,0.7214374,nudity
Pablo Picasso,0.72142905,scribbles
Howard Chaykin,0.7213998,cartoon
Ferdinand Hodler,0.7213758,nudity
Farel Dalrymple,0.7213298,fineart
Lyubov Popova,0.7213024,scribbles
Albin Egger-Lienz,0.72120845,fineart
Geertgen tot Sint Jans,0.72107565,fineart
Kate Greenaway,0.72069687,fineart
Louise Bourgeois,0.7206516,fineart
Miriam Schapiro,0.72026414,fineart
Pieter Claesz,0.7200939,fineart
George B. Bridgman,0.5592567,fineart
Piet Mondrian,0.71990657,scribbles
Michelangelo Merisi Da Caravaggio,0.7094674,fineart
Marie Spartali Stillman,0.71986604,fineart
Gertrude Abercrombie,0.7196962,scribbles
Louis Icart,0.7195913,fineart
David Driskell,0.719564,scribbles
Paula Modersohn-Becker,0.7193769,scribbles
George Hurrell,0.57496595,digipa-high-impact
Andrea Mantegna,0.7190254,fineart
Silvestro Lega,0.71891177,fineart
Junji Ito,0.7188978,anime
Jacob Hashimoto,0.7186867,digipa-high-impact
Benjamin West,0.6642946,fineart
David Teniers the Elder,0.7181293,fineart
Roberto Matta,0.71808386,fineart
Chiho Aoshima,0.71801454,anime
Amedeo Modigliani,0.71788836,scribbles
Raja Ravi Varma,0.71788085,fineart
Roberto Ferri,0.538221,nudity
Winslow Homer,0.7176876,fineart
Horace Vernet,0.65729,fineart
Lucas Cranach the Elder,0.71738195,fineart
Godfried Schalcken,0.625893,fineart
Affandi,0.7170285,nudity
Diane Arbus,0.655138,digipa-high-impact
Joseph Ducreux,0.65247905,digipa-high-impact
Berthe Morisot,0.7165984,fineart
Hilma AF Klint,0.71643853,scribbles
Hilma af Klint,0.71643853,scribbles
Filippino Lippi,0.7163017,fineart
Leonid Afremov,0.7163005,fineart
Chris Ware,0.71628594,scribbles
Marius Borgeaud,0.7162446,scribbles
M.W. Kaluta,0.71612585,cartoon
Govert Flinck,0.68975246,fineart
Charles Demuth,0.71605396,scribbles
Coles Phillips,0.7158309,scribbles
Oskar Fischinger,0.6721027,digipa-high-impact
David Teniers III,0.71569765,fineart
Jean Delville,0.7156771,fineart
Antonio Saura,0.7155949,scribbles
Bridget Riley,0.7155669,fineart
Gordon Parks,0.5759978,digipa-high-impact
Anselm Kiefer,0.71514887,scribbles
Remedios Varo,0.7150927,weird
Franz Hegi,0.71495223,scribbles
Kati Horna,0.71486115,black-white
Arshile Gorky,0.71459055,scribbles
David LaChapelle,0.7144903,scribbles
Fritz von Dardel,0.71446383,scribbles
Edward Ruscha,0.71438885,fineart
Blanche Hoschedé Monet,0.7143073,fineart
Alexandre Calame,0.5735474,fineart
Sean Scully,0.714154,fineart
Alexandre Benois,0.7141515,fineart
Sally Mann,0.6534312,black-white
Thomas Eakins,0.7141104,fineart
Arnold Böcklin,0.71407956,fineart
Alfonse Mucha,0.7139052,special
Damien Hirst,0.7136273,scribbles
Lee Krasner,0.71362555,scribbles
Dorothea Lange,0.71361613,black-white
Juan Gris,0.7132987,scribbles
Bernardo Bellotto,0.70720065,fineart
John Martin,0.5376847,fineart
Harriet Backer,0.7131594,fineart
Arnold Newman,0.5736342,digipa-high-impact
Gjon Mili,0.46520913,digipa-low-impact
Asger Jorn,0.7129575,scribbles
Chesley Bonestell,0.6063316,fineart
Agostino Carracci,0.7128167,fineart
Peter Wileman,0.71271706,cartoon
Chen Hongshou,0.71268153,ukioe
Catherine Hyde,0.71266896,scribbles
Andrea Pozzo,0.626546,fineart
Kitty Lange Kielland,0.7125735,fineart
Cornelis Saftleven,0.6684047,fineart
Félix Vallotton,0.71237606,fineart
Albrecht Durer,0.7122327,fineart
Jackson Pollock,0.71222305,scribbles
John Bratby,0.7122171,scribbles
Beksinski,0.71218586,fineart
James Thomas Watts,0.5959548,fineart
Konstantin Korovin,0.71188873,fineart
Gustave Caillebotte,0.71181154,fineart
Dean Ellis,0.50233585,fineart
Friedrich von Amerling,0.6420181,fineart
Christopher Balaskas,0.67935324,special
Alexander Rodchenko,0.67415404,scribbles
Alfred Cheney Johnston,0.6647291,fineart
Mikalojus Konstantinas Ciurlionis,0.710677,scribbles
Jean-Antoine Watteau,0.71061164,fineart
Paul Delvaux,0.7105914,scribbles
Francesco del Cossa,0.7104901,nudity
Isaac Cordal,0.71046066,weird
Hikari Shimoda,0.7104546,weird
François Boucher,0.67153126,fineart
Akos Major,0.7103802,digipa-high-impact
Bernard Buffet,0.7103491,cartoon
Brandon Woelfel,0.6727086,digipa-high-impact
Edouard Manet,0.7101296,fineart
Auguste Herbin,0.6866145,scribbles
Eugene Delacroix,0.70995826,fineart
L. Birge Harrison,0.70989627,fineart
Howard Pyle,0.70979863,fineart
Diane Dillon,0.70968723,scribbles
Hans Erni,0.7096618,scribbles
Richard Diebenkorn,0.7096184,scribbles
Thomas Gainsborough,0.6759419,fineart
Maria Sibylla Merian,0.7093275,fineart
François Joseph Heim,0.6175854,fineart
E. H. Shepard,0.7091189,cartoon
Hsiao-Ron Cheng,0.7090618,scribbles
Canaletto,0.7090392,fineart
John Atkinson Grimshaw,0.7087531,fineart
Giovanni Battista Tiepolo,0.6754107,fineart
Cornelis van Poelenburgh,0.69821274,fineart
Raina Telgemeier,0.70846486,scribbles
Francesco Hayez,0.6960006,fineart
Gilbert Stuart,0.659772,fineart
Konstantin Yuon,0.7081486,fineart
Antonello da Messina,0.70806944,fineart
Austin Osman Spare,0.7079903,fineart
James Ensor,0.70781446,scribbles
Claude Bonin-Pissarro,0.70739406,fineart
Mikhail Vrubel,0.70738363,fineart
Angelica Kauffman,0.6748828,fineart
Viktor Vasnetsov,0.7072422,fineart
Alphonse Osbert,0.70724136,fineart
Tsutomu Nihei,0.7070495,anime
Harvey Quaytman,0.63613266,fineart
Jamie Hawkesworth,0.706914,digipa-high-impact
Francesco Guardi,0.70682615,fineart
Jean-Honoré Fragonard,0.6518248,fineart
Brice Marden,0.70673287,digipa-high-impact
Charles-Amédée-Philippe van Loo,0.6725916,fineart
Mati Klarwein,0.7066092,n
Gerard ter Borch,0.706589,fineart
Dan Hillier,0.48966256,digipa-med-impact
Federico Barocci,0.682664,fineart
Henri Le Sidaner,0.70637953,fineart
Olivier Bonhomme,0.7063748,scribbles
Edward Weston,0.7061382,black-white
Giovanni Paolo Cavagna,0.6840265,fineart
Germaine Krull,0.6621777,black-white
Hans Holbein the Younger,0.70590156,fineart
François Bocion,0.6272365,fineart
Georg Baselitz,0.7053314,scribbles
Caravaggio,0.7050303,fineart
Anne Rothenstein,0.70502245,scribbles
Wadim Kashin,0.43714935,digipa-low-impact
Heinrich Lefler,0.7048054,fineart
Jacob van Ruisdael,0.7047918,fineart
Bartholomeus van Bassen,0.6676872,fineart
Jeffrey Smith art,0.56750107,fineart
Anne Packard,0.7046703,weird
Jean-François Millet,0.7045456,fineart
Andrey Remnev,0.7041204,digipa-high-impact
Fujiwara Takanobu,0.70410216,ukioe
Elliott Erwitt,0.69950557,black-white
Fern Coppedge,0.7036215,fineart
Bartholomeus van der Helst,0.66411966,fineart
Rembrandt Van Rijn,0.6979987,fineart
Rene Magritte,0.703457,scribbles
Aelbert Cuyp,0.7033657,fineart
Gerda Wegener,0.70319015,scribbles
Graham Sutherland,0.7031714,scribbles
Gerrit Dou,0.7029986,fineart
August Friedrich Schenck,0.6801586,fineart
George Herriman,0.7028568,scribbles
Stanisław Szukalski,0.6903354,fineart
Slim Aarons,0.70222545,digipa-high-impact
Ernst Thoms,0.70221686,fineart
Louis Wain,0.702186,fineart
Artemisia Gentileschi,0.70198226,fineart
Eugène Delacroix,0.70155394,fineart
Peter Bagge,0.70127463,scribbles
Jeffrey Catherine Jones,0.7012148,cartoon
Eugène Carrière,0.65272695,fineart
Alexander Millar,0.7011144,scribbles
Nobuyoshi Araki,0.70108867,fareast
Tintoretto,0.6702795,fineart
André Derain,0.7009005,scribbles
Charles Maurice Detmold,0.70079994,fineart
Francisco de Zurbarán,0.7007234,fineart
Laurie Greasley,0.70072114,cartoon
Lynda Benglis,0.7006948,digipa-high-impact
Cecil Beaton,0.66362655,black-white
Gustaf Tenggren,0.7006041,cartoon
Abdur Rahman Chughtai,0.7004994,ukioe
Constantin Brancusi,0.7004367,scribbles
Mikhail Larionov,0.7004066,fineart
Jan van Kessel the Elder,0.70040506,fineart
Chantal Joffe,0.70036674,scribbles
Charles-André van Loo,0.6830367,fineart
Reginald Marsh,0.6301042,fineart
Elsa Bleda,0.70005083,digipa-high-impact
Peter Paul Rubens,0.65745676,fineart
Eugène Boudin,0.70001304,fineart
Charles Willson Peale,0.66907954,fineart
Brian Mashburn,0.63395154,digipa-high-impact
Barkley L. Hendricks,0.69986427,n
